,number,name,type,ability,hidden_ability,gender_ratio,hatch_cycle,Base_Experience_Yield,height,weight,leveling_rate,color,base_friendship,category
1,#0001,Bulbasaur,"('Grass', 'Poison')",Overgrow,Chlorophyll,"87.5% male, 12.5% female",20cycles,64,0.7 m,6.9 kg,Medium Slow,Green,70,Seed Pokémon
2,#0002,Ivysaur,"('Grass', 'Poison')",Overgrow,Chlorophyll,"87.5% male, 12.5% female",20cycles,142,1.0 m,13.0 kg,Medium Slow,Green,70,Seed Pokémon
3,#0003,Venusaur,"('Grass', 'Poison')","('Overgrow', 'Chlorophyll')",Thick Fat,"87.5% male, 12.5% female",20cycles,236,2.0 m,100.0 kg,Medium Slow,Green,70,Seed Pokémon
4,#0004,Charmander,"('Fire', 'Unknown')",Blaze,Solar Power,"87.5% male, 12.5% female",20cycles,62,0.6 m,8.5 kg,Medium Slow,Red,70,Lizard Pokémon
5,#0005,Charmeleon,"('Fire', 'Unknown')",Blaze,Solar Power,"87.5% male, 12.5% female",20cycles,142,1.1 m,19.0 kg,Medium Slow,Red,70,Flame Pokémon
6,#0006,Charizard,"('Fire', 'Flying')",,,"87.5% male, 12.5% female",20cycles,240,1.7 m,90.5 kg,Medium Slow,Red,70,Flame Pokémon
7,#0007,Squirtle,"('Water', 'Unknown')",Torrent,Rain Dish,"87.5% male, 12.5% female",20cycles,63,0.5 m,9.0 kg,Medium Slow,Blue,70,Tiny Turtle Pokémon
8,#0008,Wartortle,"('Water', 'Unknown')",Torrent,Rain Dish,"87.5% male, 12.5% female",20cycles,142,1.0 m,22.5 kg,Medium Slow,Blue,70,Turtle Pokémon
9,#0009,Blastoise,"('Water', 'Unknown')","('Torrent', 'Rain Dish')",Mega Launcher,"87.5% male, 12.5% female",20cycles,239,1.6 m,85.5 kg,Medium Slow,Blue,70,Shellfish Pokémon
10,#0010,Caterpie,"('Bug', 'Unknown')",Shield Dust,Run Away,"50% male, 50% female",15cycles,39,0.3 m,2.9 kg,Medium Fast,Green,70,Worm Pokémon
11,#0011,Metapod,"('Bug', 'Unknown')",Ability,Shed Skin,"50% male, 50% female",15cycles,72,0.7 m,9.9 kg,Medium Fast,Green,70,Cocoon Pokémon
12,#0012,Butterfree,"('Bug', 'Flying')",Compound Eyes,Tinted Lens,"50% male, 50% female",15cycles,178,1.1 m,32.0 kg,Medium Fast,White,70,Butterfly Pokémon
13,#0013,Weedle,"('Bug', 'Poison')",Shield Dust,Run Away,"50% male, 50% female",15cycles,39,0.3 m,3.2 kg,Medium Fast,Brown,70,Hairy Bug Pokémon
14,#0014,Kakuna,"('Bug', 'Poison')",Ability,Shed Skin,"50% male, 50% female",15cycles,72,0.6 m,10.0 kg,Medium Fast,Yellow,70,Cocoon Pokémon
15,#0015,Beedrill,"('Bug', 'Poison')","('Swarm', 'Sniper')",Adaptability,"50% male, 50% female",15cycles,178,1.0 m,29.5 kg,Medium Fast,Yellow,70,Poison Bee Pokémon
16,#0016,Pidgey,"('Normal', 'Flying')","('Keen Eye', 'Tangled Feet')",Big Pecks,"50% male, 50% female",15cycles,50,0.3 m,1.8 kg,Medium Slow,Brown,70,Tiny Bird Pokémon
17,#0017,Pidgeotto,"('Normal', 'Flying')","('Keen Eye', 'Tangled Feet')",Big Pecks,"50% male, 50% female",15cycles,122,1.1 m,30.0 kg,Medium Slow,Brown,70,Bird Pokémon
18,#0018,Pidgeot,"('Normal', 'Flying')","('Keen Eye', 'Tangled Feet')",Big Pecks,"50% male, 50% female",15cycles,216,1.5 m,39.5 kg,Medium Slow,Brown,70,Bird Pokémon
19,#0019,Rattata,"('Normal', 'Unknown')","('Run Away', 'Guts')",Hustle,"50% male, 50% female",15cycles,51,0.3 m,3.5 kg,Medium Fast,Purple,70,Mouse Pokémon
20,#0020,Raticate,"('Normal', 'Unknown')","('Run Away', 'Guts')",Hustle,"50% male, 50% female",15cycles,145,0.7 m,18.5 kg,Medium Fast,Brown,70,Mouse Pokémon
21,#0021,Spearow,"('Normal', 'Flying')",Keen Eye,Sniper,"50% male, 50% female",15cycles,52,0.3 m,2.0 kg,Medium Fast,Brown,70,Tiny Bird Pokémon
22,#0022,Fearow,"('Normal', 'Flying')",Keen Eye,Sniper,"50% male, 50% female",15cycles,155,1.2 m,38.0 kg,Medium Fast,Brown,70,Beak Pokémon
23,#0023,Ekans,"('Poison', 'Unknown')","('Intimidate', 'Shed Skin')",Unnerve,"50% male, 50% female",20cycles,58,2.0 m,6.9 kg,Medium Fast,Purple,70,Snake Pokémon
24,#0024,Arbok,"('Poison', 'Unknown')","('Intimidate', 'Shed Skin')",Unnerve,"50% male, 50% female",20cycles,157,3.5 m,65.0 kg,Medium Fast,Purple,70,Cobra Pokémon
25,#0025,Pikachu,"('Electric', 'Unknown')",Static,Lightning Rod,"50% male, 50% female",10cycles,112,0.4 m,6.0 kg,Medium Fast,Yellow,70,Mouse Pokémon
26,#0026,Raichu,"('Electric', 'Unknown')",Static,Lightning Rod,"50% male, 50% female",10cycles,218,0.8 m,30.0 kg,Medium Fast,Yellow,70,Mouse Pokémon
27,#0027,Sandshrew,"('Ground', 'Unknown')",Sand Veil,Sand Rush,"50% male, 50% female",20cycles,60,0.6 m,12.0 kg,Medium Fast,Yellow,70,Mouse Pokémon
28,#0028,Sandslash,"('Ground', 'Unknown')",Sand Veil,Sand Rush,"50% male, 50% female",20cycles,158,1.0 m,29.5 kg,Medium Fast,Yellow,70,Mouse Pokémon
29,#0029,Nidoran♀,"('Poison', 'Unknown')","('Poison Point', 'Rivalry')",Hustle,100% female,20cycles,55,0.4 m,7.0 kg,Medium Slow,Blue,70,Poison Pin Pokémon
30,#0030,Nidorina,"('Poison', 'Unknown')","('Poison Point', 'Rivalry')",Hustle,100% female,20cycles,128,0.8 m,20.0 kg,Medium Slow,Blue,70,Poison Pin Pokémon
31,#0031,Nidoqueen,"('Poison', 'Ground')","('Poison Point', 'Rivalry')",Sheer Force,100% female,20cycles,227,1.3 m,60.0 kg,Medium Slow,Blue,70,Drill Pokémon
32,#0032,Nidoran♂,"('Poison', 'Unknown')","('Poison Point', 'Rivalry')",Hustle,100% male,20cycles,55,0.5 m,9.0 kg,Medium Slow,Purple,70,Poison Pin Pokémon
33,#0033,Nidorino,"('Poison', 'Unknown')","('Poison Point', 'Rivalry')",Hustle,100% male,20cycles,128,0.9 m,19.5 kg,Medium Slow,Purple,70,Poison Pin Pokémon
34,#0034,Nidoking,"('Poison', 'Ground')","('Poison Point', 'Rivalry')",Sheer Force,100% male,20cycles,227,1.4 m,62.0 kg,Medium Slow,Purple,70,Drill Pokémon
35,#0035,Clefairy,"('Fairy', 'Unknown')","('Cute Charm', 'Magic Guard')",Friend Guard,"25% male, 75% female",10cycles,113,0.6 m,7.5 kg,Fast,Pink,140,Fairy Pokémon
36,#0036,Clefable,"('Fairy', 'Unknown')","('Cute Charm', 'Magic Guard')",Unaware,"25% male, 75% female",10cycles,217,1.3 m,40.0 kg,Fast,Pink,140,Fairy Pokémon
37,#0037,Vulpix,"('Fire', 'Unknown')",Flash Fire,Drought,"25% male, 75% female",20cycles,60,0.6 m,9.9 kg,Medium Fast,Brown,70,Fox Pokémon
38,#0038,Ninetales,"('Fire', 'Unknown')",Flash Fire,Drought,"25% male, 75% female",20cycles,177,1.1 m,19.9 kg,Medium Fast,Yellow,70,Fox Pokémon
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
