,name,type,category,power,accuracy,pp,description,probability%
0,"10,000,000 Volt Thunderbolt",Electric,Special,"<td class=""cell-num"">195</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Pikachu-exclusive Z-Move. High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
1,Absorb,Grass,Special,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">User recovers half the HP inflicted on opponent.</td>","<td class=""cell-num"">—</td>"
2,Accelerock,Rock,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
3,Acid,Poison,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">10</td>"
4,Acid Armor,Poison,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply raises user's Defense.</td>","<td class=""cell-num"">—</td>"
5,Acid Downpour,Poison,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Poison type Z-Move.</td>","<td class=""cell-num"">—</td>"
6,Acid Spray,Poison,Special,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply lowers opponent's Special Defense.</td>","<td class=""cell-num"">100</td>"
7,Acrobatics,Flying,Physical,"<td class=""cell-num"">55</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Stronger when the user does not have a held item.</td>","<td class=""cell-num"">—</td>"
8,Acupressure,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Sharply raises a random stat.</td>","<td class=""cell-num"">—</td>"
9,Aerial Ace,Flying,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
10,Aeroblast,Flying,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
11,After You,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Gives target priority in the next turn.</td>","<td class=""cell-num"">—</td>"
12,Agility,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Sharply raises user's Speed.</td>","<td class=""cell-num"">—</td>"
13,Air Cutter,Flying,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
14,Air Slash,Flying,Special,"<td class=""cell-num"">75</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
15,All-Out Pummeling,Fighting,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Fighting type Z-Move.</td>","<td class=""cell-num"">—</td>"
16,Alluring Voice,Fairy,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
17,Ally Switch,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">User switches with opposite teammate.</td>","<td class=""cell-num"">—</td>"
18,Amnesia,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply raises user's Special Defense.</td>","<td class=""cell-num"">—</td>"
19,Anchor Shot,Steel,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.</td>","<td class=""cell-num"">—</td>"
20,Ancient Power,Rock,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May raise all user's stats at once.</td>","<td class=""cell-num"">10</td>"
21,Apple Acid,Grass,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers target's Special Defense.</td>","<td class=""cell-num"">100</td>"
22,Aqua Cutter,Water,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
23,Aqua Jet,Water,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
24,Aqua Ring,Water,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Restores a little HP each turn.</td>","<td class=""cell-num"">—</td>"
25,Aqua Step,Water,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises user's Speed.</td>","<td class=""cell-num"">100</td>"
26,Aqua Tail,Water,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
27,Arm Thrust,Fighting,Physical,"<td class=""cell-num"">15</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
28,Armor Cannon,Fire,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Lowers user's Defense and Special Defense.</td>","<td class=""cell-num"">—</td>"
29,Aromatherapy,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Cures all status problems in your party.</td>","<td class=""cell-num"">—</td>"
30,Aromatic Mist,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Raises Special Defense of an ally.</td>","<td class=""cell-num"">—</td>"
31,Assist,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User performs a move known by its allies at random.</td>","<td class=""cell-num"">—</td>"
32,Assurance,Dark,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power doubles if opponent already took damage in the same turn.</td>","<td class=""cell-num"">—</td>"
33,Astonish,Ghost,Physical,"<td class=""cell-num"">30</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
34,Astral Barrage,Ghost,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.</td>","<td class=""cell-num"">—</td>"
35,Attack Order,Bug,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
36,Attract,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">If opponent is the opposite gender, it's less likely to attack.</td>","<td class=""cell-num"">—</td>"
37,Aura Sphere,Fighting,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
38,Aura Wheel,Electric,Physical,"<td class=""cell-num"">110</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Changes type based on Morpeko's Mode.</td>","<td class=""cell-num"">100</td>"
39,Aurora Beam,Ice,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May lower opponent's Attack.</td>","<td class=""cell-num"">10</td>"
40,Aurora Veil,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Halves damage from Physical and Special attacks for five turns.</td>","<td class=""cell-num"">—</td>"
41,Autotomize,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Reduces weight and sharply raises Speed.</td>","<td class=""cell-num"">—</td>"
42,Avalanche,Ice,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power doubles if user took damage first.</td>","<td class=""cell-num"">—</td>"
43,Axe Kick,Fighting,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May confuse opponent. If it misses, the user loses HP.</td>","<td class=""cell-num"">—</td>"
44,Baby-Doll Eyes,Fairy,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Always goes first. Lowers the target's attack.</td>","<td class=""cell-num"">—</td>"
45,Baddy Bad,Dark,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Reduces damage from Physical attacks.</td>","<td class=""cell-num"">—</td>"
46,Baneful Bunker,Poison,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the user and poisons opponent on contact.</td>","<td class=""cell-num"">—</td>"
47,Barb Barrage,Poison,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May poison opponent; inflicts double damage if the target is already poisoned.</td>","<td class=""cell-num"">—</td>"
48,Barrage,Normal,Physical,"<td class=""cell-num"">15</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
49,Barrier,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Sharply raises user's Defense.</td>","<td class=""cell-num"">—</td>"
50,Baton Pass,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">User switches out and gives stat changes to the incoming Pokémon.</td>","<td class=""cell-num"">—</td>"
51,Beak Blast,Flying,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.</td>","<td class=""cell-num"">—</td>"
52,Beat Up,Dark,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Each Pokémon in user's party attacks.</td>","<td class=""cell-num"">—</td>"
