,name,moves
1,Bulbasaur,"['Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Magical Leaf', 'Synthesis', 'Amnesia', 'Sludge Wave', 'Double-Edge', 'Solar Beam', 'Toxic', 'Light Screen', 'Protect', 'Energy Ball', 'Swords Dance', 'Body Slam', 'Endure', 'Bullet Seed', 'Giga Drain', 'Safeguard', 'Sludge Bomb', 'Double-Edge', 'Solar Beam', 'Substitute', 'Work Up', 'Sludge Bomb ', 'Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam', 'Take Down', 'Charm', 'Protect', 'Acid Spray', 'Trailblaze', 'Facade', 'Magical Leaf', 'Venoshock', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Sludge Bomb', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Toxic', 'Knock Off', 'Weather Ball', 'Grassy Glide', 'Double-Edge', 'Curse', 'Petal Dance', 'Toxic', 'Curse', 'Ingrain']"
2,Ivysaur,"['Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Magical Leaf', 'Synthesis', 'Amnesia', 'Sludge Wave', 'Double-Edge', 'Solar Beam', 'Roar', 'Toxic', 'Light Screen', 'Protect', 'Energy Ball', 'Swords Dance', 'Body Slam', 'Endure', 'Bullet Seed', 'Giga Drain', 'Safeguard', 'Sludge Bomb', 'Double-Edge', 'Solar Beam', 'Substitute', 'Work Up', 'Body Slam ', 'Vine Whip', 'Tackle', 'Growl', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam', 'Take Down', 'Charm', 'Protect', 'Acid Spray', 'Trailblaze', 'Facade', 'Magical Leaf', 'Venoshock', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Sludge Bomb', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Roar', 'Toxic', 'Knock Off', 'Weather Ball', 'Grassy Glide', 'Double-Edge', 'Curse', 'Petal Dance', 'Toxic', 'Curse', 'Ingrain']"
3,Venusaur,"['Power Whip', 'Tackle', 'Growl', 'Vine Whip', 'Growth', 'Leech Seed', 'Razor Leaf', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Magical Leaf', 'Synthesis', 'Amnesia', 'Sludge Wave', 'Double-Edge', 'Solar Beam', 'Roar', 'Toxic', 'Light Screen', 'Protect', 'Energy Ball', 'Swords Dance', 'Body Slam', 'Endure', 'Bullet Seed', 'Giga Drain', 'Hyper Beam', 'Safeguard', 'Earth Power', 'Sludge Bomb', 'Giga Impact', 'Double-Edge', 'Solar Beam', 'Earthquake', 'Substitute', 'Outrage', 'Work Up', 'Earthquake ', 'Petal Blizzard', 'Growth', 'Petal Dance', 'Vine Whip', 'Tackle', 'Growl', 'Leech Seed', 'Razor Leaf', 'Sleep Powder', 'Poison Powder', 'Seed Bomb', 'Take Down', 'Sweet Scent', 'Synthesis', 'Worry Seed', 'Power Whip', 'Solar Beam', 'Take Down', 'Charm', 'Scary Face', 'Protect', 'Acid Spray', 'Trailblaze', 'Facade', 'Bulldoze', 'Magical Leaf', 'Venoshock', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Amnesia', 'Helping Hand', 'Earth Power', 'Grassy Terrain', 'Grass Pledge', 'Sludge Bomb', 'Earthquake', 'Giga Impact', 'Frenzy Plant', 'Leaf Storm', 'Hyper Beam', 'Solar Beam', 'Tera Blast', 'Roar', 'Toxic', 'Knock Off', 'Weather Ball', 'Grassy Glide', 'Double-Edge', 'Petal Blizzard', 'Curse', 'Petal Dance', 'Toxic', 'Curse', 'Ingrain']"
4,Charmander,"['Tackle', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Fire Spin', 'Slash', 'Flamethrower', 'Dragon Rush', 'Flare Blitz', 'Dragon Claw', 'Roar', 'Brick Break', 'Rock Slide', 'Fire Fang', 'Protect', 'Thunder Punch', 'Crunch', 'Swift', 'Dig', 'Fire Punch', 'Swords Dance', 'Body Slam', 'Endure', 'Rock Tomb', 'Fire Blast', 'Overheat', 'Will-O-Wisp', 'Shadow Claw', 'Flamethrower', 'Heat Wave', 'Fire Spin', 'Dragon Pulse', 'Substitute', 'Iron Tail', 'Outrage', 'Focus Blast', 'Flare Blitz', 'Thunder Punch ', 'Scratch', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Fire Spin', 'Inferno', 'Flare Blitz', 'Take Down', 'Scary Face', 'Protect', 'Fire Fang', 'Fire Spin', 'Facade', 'Metal Claw', 'Swift', 'Rock Tomb', 'Flame Charge', 'Fling', 'Dragon Tail', 'Endure', 'Sunny Day', 'Dig', 'False Swipe', 'Brick Break', 'Shadow Claw', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Dragon Claw', 'Rest', 'Rock Slide', 'Swords Dance', 'Dragon Dance', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Dragon Pulse', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Fire Blast', 'Fire Pledge', 'Outrage', 'Overheat', 'Focus Blast', 'Flare Blitz', 'Tera Blast', 'Roar', 'Focus Punch', 'Weather Ball', 'Temper Flare', 'Breaking Swipe', 'Bite', 'Counter', 'Belly Drum', 'Iron Tail', 'Metal Claw', 'Ancient Power', 'Dragon Rush', 'Dragon Tail']"
5,Charmeleon,"['Tackle', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Fire Spin', 'Slash', 'Flamethrower', 'Dragon Rush', 'Flare Blitz', 'Dragon Claw', 'Roar', 'Brick Break', 'Rock Slide', 'Fire Fang', 'Protect', 'Thunder Punch', 'Crunch', 'Swift', 'Dig', 'Fire Punch', 'Swords Dance', 'Body Slam', 'Endure', 'Rock Tomb', 'Fire Blast', 'Overheat', 'Will-O-Wisp', 'Shadow Claw', 'Flamethrower', 'Heat Wave', 'Fire Spin', 'Dragon Pulse', 'Substitute', 'Iron Tail', 'Outrage', 'Focus Blast', 'Flare Blitz', 'Iron Tail ', 'Scratch', 'Growl', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Inferno', 'Flare Blitz', 'Take Down', 'Scary Face', 'Protect', 'Fire Fang', 'Fire Spin', 'Facade', 'Swift', 'Rock Tomb', 'Flame Charge', 'Fling', 'Dragon Tail', 'Endure', 'Sunny Day', 'Dig', 'False Swipe', 'Brick Break', 'Shadow Claw', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Dragon Claw', 'Rest', 'Rock Slide', 'Swords Dance', 'Dragon Dance', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Dragon Pulse', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Fire Blast', 'Fire Pledge', 'Outrage', 'Overheat', 'Focus Blast', 'Flare Blitz', 'Tera Blast', 'Roar', 'Focus Punch', 'Weather Ball', 'Temper Flare', 'Breaking Swipe', 'Bite', 'Counter', 'Belly Drum', 'Iron Tail', 'Metal Claw', 'Ancient Power', 'Dragon Rush', 'Dragon Tail', 'Fire Spin']"
6,Charizard,"['Fire Blast', 'Air Slash', 'Tackle', 'Growl', 'Dragon Claw', 'Ember', 'Smokescreen', 'Dragon Breath', 'Fire Fang', 'Fire Spin', 'Slash', 'Flamethrower', 'Dragon Rush', 'Flare Blitz', 'Dragon Claw', 'Roar', 'Brick Break', 'Rock Slide', 'Fire Fang', 'Protect', 'Thunder Punch', 'Crunch', 'Swift', 'Dig', 'Fire Punch', 'Swords Dance', 'Body Slam', 'Endure', 'Rock Tomb', 'Fire Blast', 'Fly', 'Hyper Beam', 'Overheat', 'Giga Impact', 'Double-Edge', 'Will-O-Wisp', 'Shadow Claw', 'Flamethrower', 'Solar Beam', 'Heat Wave', 'Earthquake', 'Fire Spin', 'Dragon Pulse', 'Hurricane', 'Substitute', 'Iron Tail', 'Outrage', 'Focus Blast', 'Flare Blitz', 'Solar Beam ', 'Air Slash', 'Scratch', 'Growl', 'Ember', 'Smokescreen', 'Heat Wave', 'Dragon Claw', 'Dragon Breath', 'Fire Fang', 'Slash', 'Flamethrower', 'Scary Face', 'Fire Spin', 'Inferno', 'Flare Blitz', 'Take Down', 'Scary Face', 'Protect', 'Fire Fang', 'Acrobatics', 'Fire Spin', 'Facade', 'Aerial Ace', 'Bulldoze', 'Swift', 'Rock Tomb', 'Flame Charge', 'Air Cutter', 'Fling', 'Dragon Tail', 'Endure', 'Sunny Day', 'Sandstorm', 'Dig', 'Brick Break', 'Shadow Claw', 'Air Slash', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Dragon Claw', 'Rest', 'Rock Slide', 'Swords Dance', 'Fly', 'Dragon Dance', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Dragon Pulse', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Fire Blast', 'Fire Pledge', 'Earthquake', 'Giga Impact', 'Blast Burn', 'Outrage', 'Overheat', 'Focus Blast', 'Hurricane', 'Hyper Beam', 'Flare Blitz', 'Solar Beam', 'Tera Blast', 'Roar', 'Heat Crash', 'Focus Punch', 'Weather Ball', 'Double-Edge', 'Temper Flare', 'Scorching Sands', 'Breaking Swipe', 'Dragon Cheer', 'Bite', 'Counter', 'Belly Drum', 'Iron Tail', 'Metal Claw', 'Ancient Power', 'Dragon Rush', 'Dragon Tail']"
7,Squirtle,"['Tackle', 'Tail Whip', 'Water Gun', 'Bite', 'Bubble Beam', 'Icy Wind', 'Aqua Ring', 'Aqua Jet', 'Iron Defense', 'Liquidation', 'Headbutt', 'Flip Turn', 'Brick Break', 'Ice Beam', 'Protect', 'Ice Punch', 'Dig', 'Body Slam', 'Endure', 'Rock Tomb', 'Water Pulse', 'Mud Shot', 'Icy Wind', 'Double-Edge', 'Iron Head', 'Zen Headbutt', 'Whirlpool', 'Surf', 'Dragon Pulse', 'Liquidation', 'Iron Defense', 'Substitute', 'Iron Tail', 'Hydro Pump', 'Waterfall', 'Work Up', 'Blizzard', 'Ice Punch ', 'Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash', 'Take Down', 'Protect', 'Water Pulse', 'Chilling Water', 'Facade', 'Icy Wind', 'Mud Shot', 'Fling', 'Endure', 'Rain Dance', 'Dig', 'Brick Break', 'Zen Headbutt', 'Body Slam', 'Ice Punch', 'Sleep Talk', 'Rest', 'Substitute', 'Iron Defense', 'Liquidation', 'Surf', 'Ice Spinner', 'Helping Hand', 'Ice Beam', 'Hydro Pump', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Haze', 'Gyro Ball', 'Focus Punch', 'Weather Ball', 'Flip Turn', 'Double-Edge', 'Whirlpool', 'Muddy Water', 'Mist', 'Flail', 'Mirror Coat', 'Fake Out', 'Yawn', 'Water Spout', 'Aqua Ring', 'Aqua Jet', 'Life Dew']"
8,Wartortle,"['Tackle', 'Tail Whip', 'Water Gun', 'Bite', 'Bubble Beam', 'Icy Wind', 'Aqua Ring', 'Aqua Jet', 'Iron Defense', 'Liquidation', 'Headbutt', 'Flip Turn', 'Brick Break', 'Ice Beam', 'Protect', 'Ice Punch', 'Dig', 'Body Slam', 'Endure', 'Rock Tomb', 'Water Pulse', 'Mud Shot', 'Icy Wind', 'Double-Edge', 'Iron Head', 'Zen Headbutt', 'Whirlpool', 'Surf', 'Dragon Pulse', 'Liquidation', 'Iron Defense', 'Substitute', 'Iron Tail', 'Hydro Pump', 'Waterfall', 'Work Up', 'Blizzard', 'Ice Beam ', 'Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash', 'Take Down', 'Protect', 'Water Pulse', 'Chilling Water', 'Facade', 'Icy Wind', 'Mud Shot', 'Fling', 'Endure', 'Rain Dance', 'Dig', 'Brick Break', 'Zen Headbutt', 'Body Slam', 'Ice Punch', 'Sleep Talk', 'Rest', 'Substitute', 'Iron Defense', 'Liquidation', 'Surf', 'Ice Spinner', 'Helping Hand', 'Ice Beam', 'Hydro Pump', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Haze', 'Gyro Ball', 'Focus Punch', 'Weather Ball', 'Flip Turn', 'Double-Edge', 'Whirlpool', 'Muddy Water', 'Mist', 'Flail', 'Mirror Coat', 'Fake Out', 'Yawn', 'Water Spout', 'Aqua Ring', 'Aqua Jet', 'Life Dew']"
9,Blastoise,"['Hydro Pump', 'Flash Cannon', 'Tackle', 'Tail Whip', 'Water Gun', 'Bite', 'Bubble Beam', 'Icy Wind', 'Aqua Ring', 'Aqua Jet', 'Iron Defense', 'Liquidation', 'Headbutt', 'Roar', 'Flip Turn', 'Brick Break', 'Rock Slide', 'Ice Beam', 'Protect', 'Ice Punch', 'Crunch', 'Dig', 'Body Slam', 'Endure', 'Rock Tomb', 'Water Pulse', 'Hyper Beam', 'Mud Shot', 'Icy Wind', 'Giga Impact', 'Double-Edge', 'Iron Head', 'Zen Headbutt', 'Earthquake', 'Whirlpool', 'Surf', 'Dragon Pulse', 'Liquidation', 'Iron Defense', 'Flash Cannon', 'Substitute', 'Iron Tail', 'Dark Pulse', 'Outrage', 'Hydro Pump', 'Waterfall', 'Focus Blast', 'Work Up', 'Blizzard', 'Blizzard ', 'Flash Cannon', 'Tackle', 'Tail Whip', 'Water Gun', 'Withdraw', 'Rapid Spin', 'Bite', 'Water Pulse', 'Protect', 'Rain Dance', 'Aqua Tail', 'Shell Smash', 'Iron Defense', 'Hydro Pump', 'Wave Crash', 'Take Down', 'Scary Face', 'Protect', 'Water Pulse', 'Chilling Water', 'Facade', 'Icy Wind', 'Mud Shot', 'Rock Tomb', 'Fling', 'Avalanche', 'Endure', 'Rain Dance', 'Dig', 'Brick Break', 'Zen Headbutt', 'Body Slam', 'Ice Punch', 'Sleep Talk', 'Rest', 'Rock Slide', 'Body Press', 'Flash Cannon', 'Dark Pulse', 'Substitute', 'Iron Defense', 'Crunch', 'Liquidation', 'Aura Sphere', 'Dragon Pulse', 'Surf', 'Ice Spinner', 'Helping Hand', 'Ice Beam', 'Hydro Pump', 'Blizzard', 'Water Pledge', 'Earthquake', 'Giga Impact', 'Hydro Cannon', 'Focus Blast', 'Hyper Beam', 'Tera Blast', 'Roar', 'Haze', 'Smack Down', 'Gyro Ball', 'Focus Punch', 'Weather Ball', 'Flip Turn', 'Double-Edge', 'Whirlpool', 'Muddy Water', 'Mist', 'Flail', 'Mirror Coat', 'Fake Out', 'Yawn', 'Water Spout', 'Aqua Ring', 'Aqua Jet', 'Life Dew']"
10,Caterpie,[]
