,Game,Year,Platform,Sales,Revenue
0,Pocket Monsters Stadium,1998,N64,1370000,95000000
1,Pokémon Stadium 2,1999,N64,1140000,80000000
2,Pokémon Stadium,2000,N64,4320000,302000000
3,Pokémon Stadium Kin Gin,2000,N64,742467,52000000
4,Pokémon Stadium 2,2001,N64,1987533,140000000
5,Pokémon Battle Revolution,2006,Wii,1950000,97000000
6,"Hey You, Pikachu!",1998,N64,1830000,88000000
7,Pokémon Channel ~Together with Pikachu!~,2003,,66373,3700000
8,Pokémon Channel,2003,GCN,310000,9300000
9,Pokémon de Panepon,2000,GBC,108376,4200000
10,Pokémon Puzzle League,2000,N64,298275,15000000
11,Pokémon Trading Card Game,1998,GB,3720000,111000000
12,Pokémon Card GB2: GR-Dan Sanjō!,2001,GBC,65116,2300000
13,Pokémon Snap,1999,N64,3630000,181000000
14,New Pokémon Snap,2021,Switch,2400000,144000000
15,Pokémon Pinball,1999,GB,5310000,186000000
16,Pokémon Pinball: Ruby & Sapphire,2003,GBA,1370000,82000000
17,Pokémon Colosseum,2003,GCN,2410000,120000000
18,Pokémon XD: Gale of Darkness,2005,GCN,1420000,71000000
19,Pokémon Dash,2004,DS,348285,16000000
20,Pokémon Mystery Dungeon: Red Rescue Team,2005,GBA,2360000,78000000
21,Pokémon Mystery Dungeon: Blue Rescue Team,2005,DS,3490000,115000000
22,Pokémon Mystery Dungeon:  Explorers of Time / Explorers of Darkness,2007,DS,4880000,171000000
23,Pokémon Mystery Dungeon: Explorers of Sky,2009,DS,1490000,52000000
24,Pokémon Mystery Dungeon: Gates to Infinity,2013,3DS,1390000,55000000
25,Super Pokémon Mystery Dungeon,2015,3DS,1670000,66000000
26,Pokémon Mystery Dungeon: Rescue Team DX,2020,Switch,1990000,113000000
27,Pokémon Ranger,2006,DS,2930000,97000000
28,Pokémon Ranger: Shadows of Almia,2008,DS,2350000,82000000
29,Pokémon Ranger: Guardian Signs,2010,DS,1530000,46000000
30,Minna no Pokemon Bokujō,2008,Wii,234745,2300000
31,My Pokemon Ranch,2008,Wii,200000,2000000
32,Pokémon Rumble,2009,Wii,150000,2300000
33,Pokémon Rumble Blast,2011,3DS,1400000,56000000
34,Pokémon Rumble U,2013,Wii U,10955,210000
35,Pokémon Rumble World,2015,3DS,105785,2700000
36,PokéPark Wii: Pikachu's Adventure,2010,Wii,1250000,25000000
37,PokéPark 2 BW: Beyond the World,2011,Wii,321557,24000000
38,PokéPark 2: Wonders Beyond,2012,Wii,490000,37000000
39,Pokémon + Nobunaga no Yabō,2012,DS,348221,27000000
40,Pokémon Conquest,2012,DS,660000,20000000
41,Pokémon Art Academy,2014,3DS,141845,5340000
42,Pokémon Battle Trozei,2014,3DS,200313,1633000
43,Pokkén Tournament,2016,Wii U,1000000,60000000
44,Pokkén Tournament DX,2017,Switch,2417775,150000000
45,Meitantei Pikachū ~Shin Konbi Tanjō~,2016,3DS,30117,390000
46,Meitantei Pikachū,2018,3DS,104080,5200000
47,Detective Pikachu,2018,3DS,350000,14000000
48,Detective Pikachu Returns,2023,Switch,137528,6000000
49,Pokémon Box Ruby & Sapphire,2003,GCN,241704,4700000
50,Pokémon Trozei!,2005,DS,590000,21000000
51,Battle & Get! Pokémon Typing DS,2011,DS,236432,18000000
52,Pokémon Tretta Lab,2013,3DS,53331,2200000
