,name,moves
0,Bulbasaur,Tackle
1,Bulbasaur,Growl
2,Bulbasaur,Vine Whip
3,Bulbasaur,Vine Whip
4,Bulbasaur,Poison Powder
5,Bulbasaur,Sleep Powder
6,Bulbasaur,Take Down
7,Bulbasaur,Razor Leaf
8,Bulbasaur,Sweet Scent
9,Bulbasaur,Growth
10,Bulbasaur,Double-Edge
11,Bulbasaur,Worry Seed
12,Bulbasaur,Synthesis
13,Bulbasaur,Seed Bomb
14,Bulbasaur,Tackle
15,Bulbasaur,Growl
16,Bulbasaur,Leech Seed
17,Bulbasaur,Vine Whip
18,Bulbasaur,Poison Powder
19,Bulbasaur,Sleep Powder
20,Bulbasaur,Take Down
21,Bulbasaur,Razor Leaf
22,Bulbasaur,Sweet Scent
23,Bulbasaur,Growth
24,Bulbasaur,Double-Edge
25,Bulbasaur,Worry Seed
26,Bulbasaur,Synthesis
27,Bulbasaur,Seed Bomb
28,Bulbasaur,Work Up
29,Bulbasaur,Toxic
30,Bulbasaur,Venoshock
31,Bulbasaur,Hidden Power
32,Bulbasaur,Sunny Day
33,Bulbasaur,Light Screen
34,Bulbasaur,Protect
35,Bulbasaur,Safeguard
36,Bulbasaur,Frustration
37,Bulbasaur,Solar Beam
38,Bulbasaur,Return
39,Bulbasaur,Double Team
40,Bulbasaur,Sludge Bomb
41,Bulbasaur,Facade
42,Bulbasaur,Rest
43,Bulbasaur,Attract
44,Bulbasaur,Round
45,Bulbasaur,Echoed Voice
46,Bulbasaur,Energy Ball
47,Bulbasaur,Swords Dance
48,Bulbasaur,Grass Knot
49,Bulbasaur,Swagger
50,Bulbasaur,Sleep Talk
51,Bulbasaur,Substitute
52,Bulbasaur,Nature Power
53,Bulbasaur,Confide
54,Bulbasaur,Skull Bash
55,Bulbasaur,Charm
56,Bulbasaur,Petal Dance
57,Bulbasaur,Magical Leaf
58,Bulbasaur,Grass Whistle
59,Bulbasaur,Curse
60,Bulbasaur,Ingrain
61,Bulbasaur,Nature Power
62,Bulbasaur,Amnesia
63,Bulbasaur,Leaf Storm
64,Bulbasaur,Power Whip
65,Bulbasaur,Sludge
66,Bulbasaur,Endure
67,Bulbasaur,Giga Drain
68,Bulbasaur,Grassy Terrain
69,Bulbasaur,Grass Pledge
70,Bulbasaur,Seed Bomb
71,Bulbasaur,Bind
72,Bulbasaur,Snore
73,Bulbasaur,Knock Off
74,Bulbasaur,Synthesis
75,Bulbasaur,Giga Drain
76,Bulbasaur,Worry Seed
77,Bulbasaur,Breakneck Blitz
78,Bulbasaur,Acid Downpour
79,Bulbasaur,Bloom Doom
80,Bulbasaur,Black Hole Eclipse
81,Bulbasaur,All-Out Pummeling
82,Bulbasaur,Tectonic Rage
83,Bulbasaur,Savage Spin-Out
84,Bulbasaur,Flash
85,Bulbasaur,Rock Smash
86,Bulbasaur,Secret Power
87,Bulbasaur,Cut
88,Bulbasaur,Strength
89,Bulbasaur,Bullet Seed
90,Bulbasaur,Secret Power
91,Bulbasaur,Captivate
92,Bulbasaur,Natural Gift
93,Bulbasaur,Fury Cutter
94,Bulbasaur,Mud-slap
95,Bulbasaur,String Shot
96,Bulbasaur,Headbutt
97,Bulbasaur,Body Slam
98,Bulbasaur,Mimic
99,Bulbasaur,Defense Curl
100,Bulbasaur,Rage
101,Bulbasaur,Mega Drain
102,Bulbasaur,Reflect
103,Bulbasaur,Bide
104,Bulbasaur,Tackle
105,Bulbasaur,Growl
106,Bulbasaur,Vine Whip
107,Bulbasaur,Leech Seed
108,Bulbasaur,Poison Powder
109,Bulbasaur,Sleep Powder
110,Bulbasaur,Take Down
111,Bulbasaur,Razor Leaf
112,Bulbasaur,Growth
113,Bulbasaur,Double-Edge
114,Bulbasaur,Headbutt
115,Bulbasaur,Rest
116,Bulbasaur,Light Screen
117,Bulbasaur,Protect
118,Bulbasaur,Substitute
119,Bulbasaur,Reflect
120,Bulbasaur,Facade
121,Bulbasaur,Toxic
122,Bulbasaur,Outrage
123,Bulbasaur,Solar Beam
